causas,lon,lat,raca,genero,idade,data,endereco
Shooting,-76.569407,39.292457,Black,Male,19,2007-08-05,1 S. Highland Ave.
Shooting,-76.582873,39.306906,Black,Male,27,2007-08-07,1400 of N. Milton Ave.
Shooting,-76.585626,39.307834,Black,Male,29,2007-08-07,2300 E. Oliver St.
Shooting,-76.671567,39.341847,Black,Male,30,2007-08-09,3400 Dupont Ave.
Shooting,-76.638724,39.299039,Black,Male,20,2007-08-11,1300 W. Lafayette Ave.
Shooting,-76.611069,39.313481,Black,Male,28,2007-08-12,2100 Barclay St.
Shooting,-76.63085,39.296156,Black,Male,27,2007-08-15,700 Brune St.
Stabbing,-76.605927,39.232693,White,Female,51,2007-08-16,4000 Fifth St.
Blunt Force,-76.597606,39.27036,White,Female,40,2007-08-18,1100 Harper Way
Shooting,-76.641149,39.310172,Black,Male,17,2007-08-18,2400 Woodbrook Ave.
Shooting,-76.640296,39.301133,Black,Male,15,2007-08-23,1400 Riggs Ave.
Shooting,-76.674782,39.320837,Black,Male,35,2007-08-25,3400 Powhatan Ave.
Shooting,-76.568468,39.292523,Black,Male,28,2007-08-26,3500 E. Baltimore St.
Shooting,-76.605137,39.311676,Black,Male,26,2007-08-26,1900 Cecil Ave.
Shooting,-76.659174,39.315648,Other,Male,18,2007-08-27,2600 Gwynns Falls Parkway
Shooting,-76.648354,39.282842,Black,Male,44,2007-08-28,400 S. Payson St.
Shooting,-76.669886,39.317879,Black,Male,23,2007-08-30,3100 Artaban Place
Shooting,-76.668359,39.302594,Black,Male,23,2007-08-30,3000 Normount Court
Shooting,-76.588351,39.292872,Black,Male,20,2007-08-31,2000 E. Fairmount Ave.
Shooting,-76.669145,39.306488,Black,Male,21,2007-09-01,1300 N. Rosedale St.
Shooting,-76.598933,39.318677,Black,Male,17,2007-09-04,2500 Garrett Ave.
NA,-76.598899,39.367481,Black,Female,60,2007-09-04,6100 Macbeth Dr.
NA,-76.598899,39.367481,Black,Female,17,2007-09-04,6100 Macbeth Dr.
Shooting,-76.639382,39.285482,Black,Male,29,2007-09-04,200 S. Calhoun St.
Shooting,-76.56958,39.317175,Black,Female,27,2007-09-10,3600 Elmley Ave.
Shooting,-76.672253,39.281203,Black,Male,20,2007-09-15,3300 Old Frederick Road
Shooting,-76.585626,39.307834,Black,Male,27,2007-09-15,2301 E. Oliver St.
Stabbing,-76.62467,39.251293,Black,Male,29,2007-09-15,2500 Terra Firma Road
Shooting,-76.572593,39.322411,Black,Male,23,2007-09-16,3400 Belair Road
Shooting,-76.572593,39.322411,Black,Male,26,2007-09-16,3400 Belair Road
Shooting,-76.640763,39.306503,Black,Male,26,2007-09-16,1500 Woodyear St.
Shooting,-76.612623,39.345123,Black,Male,24,2007-09-17,1300 E. Coldspring Lane
Shooting,-76.627822,39.246847,Black,Male,25,2007-09-17,2900 Round Road
Blunt Force,-76.581174,39.303749,Black,Male,40,2007-09-19,2600 E. Chase St.
Shooting,-76.628978,39.304722,Black,Female,16,2007-09-20,1500 Madison Ave.
Blunt Force,-76.643257,39.335441,White,Male,46,2007-09-22,1700 W. 41st Street
Blunt Force,-76.64609,39.315297,Black,Male,40,2007-09-22,2800 Parkwood Ave.
Stabbing,-76.68445,39.342139,Black,Male,37,2007-09-25,5200 Fairlawn Ave.
Shooting,-76.627068,39.323234,Black,Male,24,2007-09-25,600 Wyman Park Drive
Stabbing,-76.648226,39.296375,Black,Male,56,2007-09-26,700 Appleton St.
Shooting,-76.633882,39.298027,Black,Male,24,2007-09-28,800 N. Fremont Ave.
Shooting,-76.635327,39.311767,Black,Male,30,2007-10-05,2300 Eutaw Place
Shooting,-76.59478,39.320402,Black,Male,20,2007-10-06,1700 Homestead St.
